soil_moisture,temperature,time,air_temperature,air_humidity,pressure,status
63,2,97,29.99,4.81,101.75,0
67,5,40,30.1,4.72,101.74,0
61,6,49,30.2,4.62,101.73,0
39,16,67,30.44,4.26,101.73,0
33,12,60,30.68,3.9,101.73,1
45,44,87,30.62,3.66,101.72,1
24,10,49,30.56,3.43,101.71,0
55,9,23,30.62,3.38,101.7,1
41,38,73,30.67,3.33,101.69,1
72,30,41,30.78,3.38,101.68,1
10,17,8,30.88,3.44,101.66,1
52,21,96,30.71,3.4,101.66,0
75,44,39,30.54,3.35,101.65,0
90,30,101,30.44,3.14,101.64,0
28,16,98,30.34,2.92,101.63,0
62,6,69,30.49,2.99,101.62,0
60,39,34,30.64,3.06,101.62,0
74,0,105,30.8,3.14,101.61,0
44,6,69,30.95,3.21,101.6,1
60,6,50,31.09,3.11,101.59,0
65,32,109,31.22,3.02,101.58,0
14,22,6,31.36,2.92,101.58,1
32,12,90,31.5,2.82,101.57,0
84,41,98,31.47,2.79,101.56,0
42,18,59,31.44,2.76,101.56,1
73,39,73,31.41,2.72,101.55,1
55,42,0,31.38,2.69,101.54,1
17,43,37,31.35,2.58,101.53,1
61,21,65,31.32,2.46,101.52,1
32,6,21,31.56,2.41,101.51,1
89,32,24,31.8,2.35,101.5,0
24,6,1,31.72,2.28,101.5,0
43,28,1,31.64,2.21,101.49,1
44,42,83,31.74,2.22,101.48,1
60,1,59,31.84,2.22,101.47,0
44,9,17,31.86,2.22,101.46,0
80,34,19,31.89,2.21,101.45,0
44,11,94,32.11,1.98,101.44,0
6,36,22,32.33,1.76,101.43,1
50,13,22,32.09,2.18,101.42,1
53,12,48,31.85,2.61,101.41,0
42,45,88,31.88,2.83,101.4,1
55,8,59,31.92,3.05,101.4,0
40,31,20,31.8,2.78,101.4,1
1,16,64,31.67,2.52,101.39,1
14,42,65,31.72,2.52,101.38,1
47,37,44,31.76,2.52,101.37,1
75,38,2,31.8,2.54,101.36,0
14,21,71,31.85,2.57,101.36,1
38,37,41,31.85,2.34,101.35,1
74,19,26,31.84,2.12,101.35,0
24,17,83,31.74,2.31,101.34,0
30,23,70,31.63,2.5,101.34,1
23,44,2,31.51,2.32,101.34,1
67,12,24,31.39,2.13,101.34,0
7,0,41,31.4,2.04,101.34,1
51,44,4,31.42,1.94,101.34,1
86,32,60,31.39,1.86,101.34,1
18,31,97,31.36,1.79,101.35,0
4,9,10,31.2,1.8,101.35,0
35,34,72,31.05,1.8,101.36,1
22,32,83,30.98,2.08,101.36,1
8,15,18,30.9,2.36,101.36,1
23,34,51,30.83,2.63,101.36,1
41,14,96,30.76,2.91,101.36,0
57,1,96,30.52,3.09,101.36,0
18,22,87,30.27,3.27,101.36,1
70,34,99,30.22,3.38,101.36,0
77,42,88,30.17,3.5,101.36,1
37,35,45,30.06,3.46,101.36,1
9,38,48,29.94,3.42,101.36,1
1,23,16,29.86,3.34,101.37,1
40,34,80,29.77,3.26,101.38,1
67,43,69,29.59,3.03,101.38,1
13,1,14,29.41,2.8,101.39,1
28,42,30,29.28,2.9,101.4,1
26,15,93,29.14,2.99,101.4,0
85,31,99,28.99,2.84,101.4,0
25,41,89,28.84,2.69,101.4,1
77,1,70,28.78,2.8,101.4,1
54,39,67,28.72,2.92,101.41,1
45,34,35,28.4,4.94,101.42,1
52,19,20,28.09,6.96,101.42,1
14,17,35,27.8,7.74,101.43,1
31,38,93,27.52,8.53,101.44,0
84,26,8,27.42,8.8,101.44,0
70,32,39,27.32,9.06,101.45,0
20,13,97,27.2,9.34,101.46,0
41,13,101,27.07,9.62,101.47,0
2,23,90,27.01,9.78,101.48,1
64,29,87,26.94,9.94,101.49,1
39,36,92,26.96,9.64,101.5,0
11,28,83,26.97,9.33,101.5,1
39,43,52,27.32,7.38,101.5,1
15,10,98,27.67,5.43,101.51,0
35,27,52,27.67,5.49,101.52,1
34,8,48,27.67,5.56,101.52,0
17,19,97,27.52,5.82,101.52,0
60,30,52,27.38,6.08,101.53,1
65,39,4,27.35,6.02,101.54,1
77,30,23,27.32,5.97,101.54,0
15,33,34,27.2,6.12,101.54,1
41,23,102,27.07,6.27,101.55,0
34,29,68,26.97,6.3,101.56,1
57,30,96,26.86,6.32,101.56,0
78,37,38,26.76,6.35,101.57,0
90,10,21,26.66,6.38,101.58,0
56,7,68,26.66,6.04,101.58,0
39,26,55,26.66,5.7,101.58,1
58,25,13,26.62,5.4,101.58,1
32,24,84,26.59,5.11,101.59,1
38,14,29,26.52,5.11,101.6,1
27,32,54,26.44,5.1,101.6,1
11,39,71,26.39,4.96,101.62,1
49,9,86,26.34,4.81,101.63,0
1,26,10,26.26,4.88,101.64,1
87,24,7,26.18,4.95,101.64,0
57,11,29,26.13,4.87,101.64,1
90,28,34,26.08,4.79,101.63,0
75,8,79,26.04,4.62,101.63,0
2,7,38,26.01,4.46,101.63,1
47,27,66,25.96,4.42,101.64,1
54,21,14,25.91,4.38,101.64,1
20,18,42,25.82,4.42,101.64,1
76,31,83,25.74,4.45,101.64,1
85,16,33,25.62,4.58,101.65,0
38,31,59,25.5,4.7,101.65,1
10,32,31,25.42,4.75,101.66,1
8,34,100,25.35,4.8,101.66,0
14,31,30,25.22,5.07,101.66,1
45,33,79,25.1,5.35,101.67,1
30,22,96,25.0,5.51,101.67,0
35,3,22,24.91,5.66,101.67,1
84,30,79,24.81,5.82,101.68,0
63,33,76,24.71,5.98,101.68,1
16,31,79,24.62,6.13,101.68,1
19,20,43,24.52,6.29,101.68,1
26,6,93,24.2,7.56,101.68,0
82,24,5,23.87,8.83,101.69,0
51,23,21,23.64,9.57,101.7,1
74,39,94,23.41,10.32,101.71,0
3,43,108,23.22,10.48,101.72,0
31,17,17,23.04,10.64,101.72,0
8,7,39,23.06,10.32,101.72,1
82,23,13,23.09,10.0,101.71,0
56,25,76,23.3,9.22,101.71,1
21,33,44,23.51,8.43,101.71,1
87,39,59,23.62,8.25,101.7,1
48,28,3,23.72,8.06,101.7,1
14,23,94,23.6,8.24,101.7,0
90,11,92,23.49,8.41,101.7,0
21,29,40,23.37,8.59,101.7,1
75,45,86,23.26,8.77,101.7,1
12,43,52,23.15,8.95,101.71,1
71,9,89,23.03,8.96,101.7,0
44,8,42,22.91,8.96,101.7,1
62,5,52,22.82,9.1,101.7,0
82,21,25,22.72,9.23,101.69,0
19,34,83,22.6,9.38,101.69,1
71,35,78,22.47,9.52,101.69,1
21,32,73,22.46,9.68,101.68,1
38,20,82,22.44,9.85,101.68,1
13,41,71,22.38,10.14,101.68,1
79,33,78,22.32,10.43,101.68,1
20,4,0,22.2,10.66,101.68,0
52,26,69,22.07,10.9,101.67,1
58,5,21,21.9,11.07,101.66,1
2,6,21,21.74,11.23,101.66,1
16,12,67,21.74,10.96,101.66,1
42,16,36,21.73,10.7,101.65,1
56,20,55,21.56,10.82,101.64,1
8,1,110,21.4,10.95,101.64,0
66,18,7,21.24,11.08,101.63,1
28,22,44,21.07,11.2,101.62,0
90,18,77,20.91,11.66,101.62,1
51,4,99,20.75,12.13,101.63,0
51,25,48,20.57,12.82,101.63,1
28,10,93,20.39,13.5,101.62,0
38,41,50,20.21,14.18,101.62,1
51,32,87,20.03,14.87,101.62,1
17,23,101,20.04,14.65,101.62,0
68,38,39,20.04,14.43,101.62,0
5,29,56,20.15,13.78,101.62,1
3,9,77,20.26,13.13,101.63,1
37,21,17,20.44,12.55,101.62,1
62,27,48,20.63,11.96,101.62,0
43,32,97,20.62,11.86,101.62,0
79,2,21,20.61,11.77,101.62,0
31,24,76,20.6,11.68,101.61,0
20,23,42,20.59,11.58,101.61,1
16,13,103,20.5,11.7,101.6,0
67,25,84,20.41,11.83,101.6,0
69,19,33,20.38,11.78,101.6,0
62,25,44,20.36,11.72,101.6,0
38,38,21,20.33,11.66,101.59,1
7,6,93,20.3,11.61,101.59,0
15,30,83,20.29,11.51,101.58,1
80,8,21,20.28,11.41,101.58,0
74,12,109,20.11,11.74,101.58,0
3,30,101,19.94,12.08,101.59,0
79,29,27,19.87,12.1,101.59,0
22,31,79,19.8,12.11,101.59,1
33,14,44,19.77,12.0,101.59,0
15,8,24,19.75,11.88,101.59,0
48,34,50,19.69,11.91,101.6,1
84,26,106,19.62,11.94,101.6,0
25,43,88,19.56,11.92,101.6,1
58,18,21,19.5,11.89,101.59,1
27,32,25,19.34,12.19,101.59,1
85,14,46,19.17,12.5,101.59,1
85,6,21,19.0,12.8,101.59,0
18,16,29,18.84,13.1,101.59,0
72,33,101,18.76,13.29,101.59,0
60,24,69,18.69,13.48,101.59,1
81,24,55,18.64,13.63,101.6,1
77,34,1,18.59,13.78,101.6,0
32,44,60,18.54,13.97,101.6,1
29,2,85,18.48,14.16,101.61,0
56,38,35,18.43,14.35,101.61,1
33,34,34,18.27,14.82,101.61,1
42,27,95,18.12,15.29,101.61,0
84,35,5,18.08,15.52,101.61,0
69,40,80,18.03,15.74,101.61,1
45,27,91,17.98,15.89,101.62,0
26,10,3,17.92,16.04,101.62,0
62,33,3,17.83,16.26,101.63,1
30,41,28,17.74,16.47,101.64,1
62,16,67,17.67,16.56,101.65,1
13,33,40,17.61,16.65,101.65,1
30,17,38,17.56,16.77,101.66,0
44,27,39,17.51,16.89,101.68,1
83,43,63,17.44,16.97,101.69,1
30,37,104,17.37,17.05,101.7,0
19,26,82,17.3,17.12,101.7,1
44,1,29,17.23,17.2,101.71,0
24,33,16,17.19,17.26,101.72,1
34,38,55,17.15,17.32,101.72,1
30,44,9,17.16,17.38,101.72,1
4,28,12,17.17,17.43,101.72,1
27,32,90,17.33,17.28,101.72,1
82,9,63,17.49,17.14,101.73,0
55,38,70,17.72,16.95,101.74,1
22,42,90,17.95,16.77,101.74,1
6,27,89,18.32,16.38,101.74,1
85,14,30,18.68,15.98,101.73,0
12,25,19,19.16,15.18,101.73,0
65,15,49,19.64,14.38,101.73,0
85,33,91,20.19,13.74,101.74,0
20,30,31,20.74,13.09,101.75,1
77,27,53,21.2,12.46,101.76,1
77,22,51,21.67,11.82,101.76,1
68,43,66,22.14,11.19,101.77,1
77,13,96,22.6,10.56,101.78,0
18,13,1,23.08,10.22,101.78,1
43,33,67,23.56,9.87,101.78,1
49,44,66,24.0,9.64,101.78,1
2,9,41,24.45,9.42,101.79,1
41,21,108,24.6,9.2,101.8,0
12,44,14,24.74,8.99,101.81,1
44,43,52,24.92,8.8,101.81,1
66,30,62,25.1,8.61,101.81,1
89,0,88,25.34,8.38,101.82,0
50,31,18,25.58,8.16,101.82,1
45,8,66,25.7,8.0,101.82,1
43,16,110,25.81,7.84,101.83,0
1,9,63,26.09,7.8,101.83,1
56,16,108,26.37,7.76,101.83,0
26,8,65,26.49,7.68,101.82,0
79,35,55,26.61,7.6,101.82,1
38,32,21,26.71,7.39,101.83,1
41,11,108,26.81,7.18,101.84,0
9,37,35,26.84,7.11,101.84,1
81,37,31,26.88,7.04,101.84,0
32,25,39,27.26,6.96,101.84,0
80,2,18,27.63,6.88,101.85,0
31,16,49,27.48,6.98,101.84,1
23,21,104,27.34,7.09,101.84,0
56,10,53,27.58,7.08,101.84,0
40,12,88,27.83,7.06,101.84,0
89,25,12,28.08,7.05,101.83,0
67,45,70,28.32,7.04,101.83,1
53,43,6,28.24,6.65,101.83,1
21,15,95,28.16,6.27,101.83,0
44,25,2,28.32,6.22,101.82,1
30,18,12,28.48,6.16,101.81,1
13,38,26,28.66,6.01,101.82,1
59,36,51,28.84,5.86,101.82,1
30,42,16,28.76,6.04,101.82,1
22,15,91,28.67,6.22,101.81,0
44,26,27,29.02,6.0,101.81,1
40,9,43,29.36,5.79,101.81,0
10,29,30,29.26,6.0,101.8,1
39,16,101,29.17,6.21,101.78,0
35,28,75,28.94,6.14,101.77,1
36,39,11,28.72,6.07,101.76,1
1,26,23,29.1,5.97,101.76,1
43,30,85,29.48,5.87,101.75,1
37,12,12,29.32,5.81,101.74,1
16,17,61,29.15,5.75,101.72,1
16,16,57,29.4,5.54,101.71,1
26,43,98,29.64,5.34,101.7,0
72,9,74,29.6,5.35,101.7,0
65,34,29,29.56,5.36,101.69,0
3,2,89,29.82,5.3,101.68,1
77,33,48,30.09,5.24,101.67,1
61,9,31,30.11,5.26,101.66,0
19,14,89,30.13,5.28,101.65,1
9,40,73,30.06,5.26,101.64,1
6,0,3,29.98,5.25,101.63,0
78,4,105,30.22,5.04,101.62,0
57,14,3,30.46,4.84,101.62,1
7,45,2,30.7,4.64,101.61,1
76,4,63,30.94,4.43,101.6,0
15,21,92,30.9,4.5,101.6,0
75,39,67,30.86,4.56,101.59,1
71,12,57,30.81,4.62,101.58,0
20,35,25,30.77,4.69,101.58,1
76,36,9,30.82,4.69,101.57,0
17,43,78,30.87,4.7,101.56,1
42,3,93,30.92,4.7,101.54,0
44,17,45,30.97,4.7,101.53,1
58,39,58,30.99,4.25,101.52,1
56,26,73,31.02,3.8,101.51,1
14,2,50,31.06,3.9,101.5,1
46,43,1,31.09,4.0,101.49,1
43,35,90,31.08,4.02,101.48,1
5,21,14,31.06,4.03,101.47,1
53,23,53,31.08,4.04,101.46,1
70,39,33,31.09,4.04,101.46,0
34,9,41,31.16,3.92,101.46,0
57,6,29,31.23,3.8,101.45,1
48,40,62,31.16,3.76,101.45,1
38,19,99,31.1,3.73,101.45,0
6,25,64,30.96,3.86,101.44,1
9,32,9,30.81,3.99,101.43,1
46,35,42,30.85,3.78,101.43,1
51,38,26,30.9,3.57,101.42,1
62,4,74,30.96,3.91,101.42,0
65,16,56,31.01,4.25,101.42,1
52,37,15,30.84,4.01,101.42,1
88,4,69,30.68,3.77,101.41,0
59,1,35,30.81,3.94,101.41,0
52,43,83,30.94,4.11,101.41,1
24,6,87,30.8,4.14,101.4,0
64,33,98,30.67,4.17,101.4,0
68,0,30,30.59,4.43,101.4,0
87,23,44,30.52,4.69,101.4,0
77,3,57,30.44,4.95,101.41,0
26,14,35,30.36,5.21,101.41,1
15,19,85,30.2,5.5,101.42,1
22,37,3,30.05,5.8,101.42,1
81,20,20,29.9,6.09,101.43,0
26,24,81,29.74,6.38,101.43,1
46,16,36,29.57,6.22,101.43,0
56,43,39,29.4,6.05,101.43,1
58,6,91,29.31,6.14,101.43,0
38,1,28,29.22,6.23,101.43,0
54,31,57,29.08,6.43,101.43,1
88,39,108,28.94,6.62,101.43,0
24,32,26,28.76,7.33,101.42,1
80,42,97,28.58,8.04,101.41,0
32,32,32,28.46,7.81,101.41,1
29,45,42,28.33,7.58,101.41,1
47,11,12,28.2,8.04,101.42,1
25,36,22,28.08,8.49,101.42,1
38,26,58,27.78,9.82,101.43,1
89,11,34,27.48,11.16,101.43,0
45,10,22,27.28,11.72,101.44,1
11,23,49,27.07,12.28,101.45,1
18,36,21,26.94,12.36,101.46,1
40,8,8,26.82,12.44,101.46,0
89,2,101,26.68,12.5,101.46,0
61,29,21,26.54,12.56,101.46,0
65,42,106,26.39,12.62,101.47,0
48,22,72,26.25,12.68,101.47,1
55,45,32,26.12,12.64,101.47,1
68,6,58,25.98,12.61,101.47,0
20,36,56,25.94,12.22,101.48,1
76,31,51,25.89,11.82,101.48,1
51,44,50,25.88,11.55,101.48,1
88,36,46,25.88,11.28,101.49,1
85,43,100,26.05,10.5,101.5,0
31,0,56,26.22,9.73,101.51,0
42,32,73,26.12,9.66,101.51,1
6,11,11,26.01,9.6,101.51,1
63,33,106,25.94,9.38,101.52,0
82,36,107,25.87,9.17,101.53,0
14,20,36,25.78,9.24,101.54,1
66,13,12,25.68,9.3,101.54,0
73,26,26,25.65,9.23,101.55,0
5,33,63,25.62,9.15,101.56,1
84,0,8,25.64,9.02,101.56,0
18,11,99,25.66,8.9,101.57,0
70,28,12,25.44,9.18,101.57,0
40,26,50,25.21,9.46,101.58,0
33,39,104,25.0,9.82,101.6,0
50,15,59,24.8,10.18,101.61,1
43,4,80,24.59,10.47,101.61,0
53,31,59,24.38,10.77,101.62,1
71,9,98,24.17,11.06,101.62,0
57,3,105,24.02,11.34,101.62,0
46,16,16,23.87,11.63,101.63,1
64,0,110,23.82,11.68,101.64,0
39,9,27,23.76,11.73,101.66,0
54,4,101,23.68,11.78,101.68,0
9,9,86,23.61,11.84,101.69,1
37,32,24,23.44,12.12,101.7,1
84,38,84,23.28,12.4,101.71,1
4,10,80,22.99,13.38,101.72,1
68,17,60,22.7,14.36,101.73,0
53,8,2,22.54,14.5,101.73,0
90,40,108,22.39,14.64,101.73,0
68,39,45,22.12,15.52,101.74,1
30,14,44,21.86,16.41,101.74,1
20,43,32,21.62,16.99,101.74,1
4,5,57,21.39,17.58,101.75,1
45,0,73,21.29,18.24,101.76,0
31,31,108,21.19,18.9,101.78,0
84,4,86,21.04,19.48,101.78,0
90,38,18,20.9,20.06,101.78,0
50,36,87,20.75,20.63,101.79,1
41,36,58,20.6,21.21,101.79,1
19,45,50,20.6,21.34,101.79,1
40,3,80,20.6,21.46,101.8,0
31,19,36,20.6,21.58,101.8,1
63,17,107,20.6,21.71,101.8,0
81,17,1,20.56,22.11,101.8,0
18,38,82,20.52,22.51,101.81,1
17,44,64,20.49,22.91,101.82,1
5,0,26,20.45,23.31,101.82,0
78,0,42,20.38,23.93,101.82,0
36,44,101,20.32,24.56,101.82,0
50,19,66,20.26,25.18,101.81,0
89,38,106,20.19,25.8,101.81,0
4,21,71,20.26,25.6,101.81,1
51,3,101,20.34,25.4,101.81,0
85,33,22,20.3,25.64,101.8,0
45,5,47,20.26,25.87,101.8,0
69,36,109,20.16,25.92,101.8,0
54,27,46,20.07,25.96,101.8,1
35,35,28,19.98,26.01,101.8,1
31,35,21,19.88,26.06,101.8,1
53,19,98,19.88,25.68,101.8,0
59,33,106,19.88,25.31,101.8,0
51,11,91,19.71,25.87,101.8,0
8,16,79,19.54,26.43,101.79,1
3,36,57,19.37,26.42,101.78,1
4,38,75,19.2,26.42,101.78,1
49,7,28,19.19,26.0,101.78,1
43,0,82,19.17,25.57,101.77,0
51,31,81,19.08,25.54,101.76,1
78,30,57,18.98,25.51,101.75,1
14,42,45,18.82,25.56,101.74,1
15,19,26,18.66,25.6,101.73,1
48,41,17,18.59,26.15,101.72,1
73,42,94,18.52,26.7,101.71,0
41,23,78,18.67,25.99,101.7,1
47,8,74,18.82,25.29,101.7,0
89,39,97,18.76,25.27,101.69,0
84,2,87,18.71,25.25,101.68,0
82,0,60,18.6,25.58,101.68,0
80,5,6,18.5,25.92,101.68,0
68,9,84,18.47,26.2,101.68,0
52,5,24,18.43,26.49,101.67,1
9,0,49,18.4,26.77,101.67,1
36,23,31,18.27,27.62,101.66,1
35,12,55,18.14,28.47,101.66,0
18,25,105,17.81,29.67,101.65,0
49,10,64,17.48,30.87,101.64,0
53,8,17,17.37,30.96,101.65,1
43,3,59,17.25,31.05,101.66,0
18,0,68,17.26,30.72,101.66,1
2,43,110,17.27,30.4,101.65,0
56,44,41,17.24,30.34,101.65,1
20,18,82,17.2,30.28,101.65,1
57,2,66,17.14,30.21,101.65,0
27,11,3,17.09,30.14,101.65,1
87,4,104,16.96,30.46,101.65,0
81,36,109,16.83,30.78,101.64,0
60,15,62,16.64,31.54,101.64,0
37,7,80,16.45,32.29,101.64,0
48,22,108,16.28,32.88,101.64,0
22,5,19,16.11,33.47,101.63,1
42,43,66,16.15,33.31,101.62,1
9,3,44,16.19,33.15,101.62,1
13,4,5,16.18,32.76,101.62,0
76,45,11,16.17,32.38,101.63,0
89,34,71,16.14,32.03,101.63,1
63,5,23,16.11,31.68,101.63,0
14,6,63,16.0,31.8,101.63,1
52,6,82,15.88,31.91,101.63,0
38,1,13,15.8,32.03,101.63,1
70,8,52,15.73,32.15,101.63,0
9,23,57,15.66,32.32,101.63,1
65,11,74,15.6,32.48,101.63,1
68,8,63,15.44,32.76,101.64,1
46,26,85,15.29,33.04,101.64,1
49,23,93,15.26,33.03,101.64,0
76,32,106,15.22,33.02,101.63,0
81,37,56,15.12,33.26,101.63,1
81,22,21,15.02,33.49,101.63,0
42,8,24,14.97,33.42,101.63,0
53,13,66,14.92,33.34,101.63,0
48,5,65,14.86,33.3,101.62,0
39,5,55,14.81,33.26,101.62,0
83,42,36,14.8,32.8,101.62,0
43,4,105,14.8,32.34,101.62,0
55,32,42,14.81,32.2,101.62,1
39,5,97,14.82,32.05,101.63,0
65,15,70,14.79,32.06,101.63,1
76,15,40,14.75,32.07,101.64,0
49,38,96,14.72,32.08,101.64,0
43,33,65,14.62,32.52,101.65,1
50,34,20,14.51,32.97,101.65,1
27,0,0,14.45,33.03,101.65,0
55,7,99,14.39,33.1,101.65,0
50,14,44,14.32,33.29,101.66,1
67,40,56,14.26,33.48,101.66,1
83,9,19,14.24,33.16,101.66,0
2,24,110,14.23,32.85,101.66,0
18,0,18,14.1,32.8,101.66,0
29,9,101,13.97,32.74,101.66,0
67,45,71,13.97,32.72,101.66,1
32,35,43,13.97,32.71,101.67,1
82,22,109,13.93,33.12,101.68,0
18,27,85,13.89,33.53,101.68,1
34,28,31,14.09,33.12,101.68,1
15,40,15,14.29,32.72,101.69,1
77,28,18,14.84,31.16,101.7,0
73,39,107,15.39,29.59,101.71,0
38,1,65,15.95,28.54,101.72,0
45,13,72,16.51,27.48,101.72,0
53,18,102,17.12,26.61,101.72,0
4,40,63,17.74,25.74,101.72,1
37,9,13,18.44,24.78,101.73,0
31,31,99,19.14,23.81,101.74,0
73,23,26,19.72,23.13,101.73,0
65,12,26,20.29,22.45,101.72,0
38,7,67,21.14,21.12,101.74,0
74,32,8,22.0,19.8,101.75,0
24,34,40,22.74,18.14,101.76,1
71,15,71,23.49,16.49,101.76,0
23,44,94,24.12,15.16,101.76,0
44,30,75,24.75,13.82,101.77,1
76,11,71,25.1,13.39,101.78,1
85,39,71,25.44,12.96,101.79,1
34,4,104,25.9,12.48,101.79,0
49,20,31,26.36,11.99,101.79,1
47,26,3,26.82,11.8,101.78,1
29,11,38,27.29,11.61,101.78,1
59,7,43,27.8,11.14,101.79,0
29,27,26,28.32,10.68,101.8,1
40,18,71,28.5,10.64,101.8,0
16,15,16,28.67,10.6,101.8,1
30,30,72,28.82,10.41,101.81,1
16,32,24,28.96,10.22,101.82,1
46,29,102,29.16,10.16,101.82,0
7,8,44,29.35,10.11,101.83,1
82,11,73,29.72,9.93,101.84,0
4,14,76,30.08,9.74,101.85,1
1,38,108,30.29,9.44,101.85,0
77,30,35,30.5,9.15,101.86,0
12,11,58,30.44,9.0,101.85,1
42,3,28,30.37,8.84,101.85,1
47,25,106,30.92,8.6,101.84,0
27,2,67,31.46,8.36,101.84,0
55,42,81,31.46,8.34,101.84,1
9,40,29,31.47,8.31,101.84,1
12,16,92,31.78,8.12,101.84,0
52,19,54,32.1,7.93,101.84,0
21,30,15,32.42,7.73,101.83,1
51,8,74,32.73,7.54,101.83,1
30,23,102,32.73,7.42,101.82,0
90,23,15,32.73,7.31,101.81,0
87,14,107,32.68,7.49,101.8,0
28,3,74,32.63,7.67,101.79,0
1,27,11,32.74,7.55,101.78,1
77,34,50,32.84,7.43,101.78,1
61,36,15,32.94,7.31,101.78,0
23,44,56,33.05,7.19,101.77,1
29,6,51,33.42,6.86,101.76,0
15,4,21,33.78,6.54,101.74,1
57,14,2,33.63,6.62,101.72,1
86,21,50,33.48,6.69,101.71,0
42,18,66,33.54,6.92,101.7,0
3,7,78,33.6,7.15,101.69,1
6,26,58,33.2,7.0,101.68,1
14,24,34,32.81,6.84,101.68,0
6,27,97,32.29,7.31,101.68,0
1,4,91,31.76,7.78,101.67,0
51,14,106,31.3,7.96,101.66,0
14,23,66,30.85,8.15,101.65,1
39,6,45,30.69,8.27,101.64,1
39,14,7,30.53,8.39,101.62,1
51,11,105,30.54,8.35,101.6,0
2,12,94,30.55,8.31,101.59,0
64,37,9,30.78,8.23,101.58,1
48,6,84,31.02,8.14,101.58,0
31,23,12,31.01,7.78,101.57,1
1,42,32,31.0,7.42,101.56,1
21,16,23,31.1,7.58,101.55,0
26,18,19,31.19,7.75,101.54,1
72,5,23,31.26,7.88,101.54,0
59,27,12,31.32,8.02,101.53,1
51,12,57,31.38,7.72,101.52,1
75,37,91,31.43,7.43,101.51,0
4,43,32,31.55,7.35,101.5,1
30,30,84,31.67,7.27,101.49,1
28,45,39,31.51,6.96,101.48,1
16,13,95,31.35,6.64,101.47,0
54,1,110,31.38,6.9,101.46,0
77,6,41,31.4,7.16,101.46,0
90,32,68,31.44,7.1,101.46,1
41,21,42,31.47,7.05,101.45,1
24,37,78,31.48,6.92,101.44,1
10,15,62,31.48,6.79,101.43,1
70,21,55,31.44,6.85,101.43,1
1,31,102,31.41,6.91,101.42,0
73,0,106,31.62,6.8,101.4,0
84,35,28,31.83,6.68,101.39,0
13,29,61,31.72,6.68,101.38,1
75,23,56,31.62,6.68,101.37,1
18,2,46,31.84,6.72,101.36,1
4,16,102,32.05,6.76,101.35,0
70,45,74,32.07,6.7,101.34,1
33,5,18,32.09,6.64,101.34,1
80,37,63,31.84,6.3,101.34,1
23,27,2,31.59,5.97,101.33,1
18,6,95,31.55,6.12,101.32,0
50,17,9,31.51,6.28,101.32,1
88,41,1,31.38,6.38,101.32,0
42,19,90,31.26,6.48,101.31,1
31,18,110,31.28,6.46,101.31,0
24,38,18,31.29,6.44,101.31,1
76,11,105,31.19,6.44,101.31,0
65,7,62,31.09,6.45,101.31,1
8,42,27,30.97,6.67,101.3,1
26,7,2,30.85,6.89,101.3,0
18,20,68,30.8,6.85,101.3,1
26,34,67,30.75,6.81,101.3,1
49,40,55,30.64,6.8,101.3,1
43,29,56,30.54,6.78,101.31,0
84,35,85,30.43,6.87,101.32,1
82,17,10,30.32,6.96,101.32,0
25,11,28,30.21,7.04,101.32,1
30,32,83,30.1,7.13,101.33,1
40,8,8,29.95,7.3,101.33,0
72,14,33,29.8,7.46,101.33,0
21,7,16,29.66,7.63,101.33,1
30,43,86,29.51,7.8,101.33,1
5,16,109,29.36,8.35,101.34,0
19,30,67,29.22,8.9,101.34,1
27,2,57,28.94,9.62,101.35,0
55,41,24,28.65,10.33,101.36,1
90,45,22,28.41,11.03,101.36,0
63,20,15,28.17,11.73,101.36,0
75,33,65,27.76,12.85,101.36,1
73,9,12,27.36,13.97,101.37,0
29,3,21,27.03,14.52,101.38,1
1,45,39,26.7,15.06,101.38,1
36,11,85,26.26,15.54,101.38,1
37,45,103,25.82,16.02,101.39,0
50,22,51,25.55,16.29,101.38,1
74,2,55,25.28,16.56,101.38,0
78,44,7,25.05,17.93,101.38,0
29,8,100,24.82,19.3,101.39,0
73,24,0,23.62,28.08,101.4,0
32,8,38,22.42,36.85,101.41,0
66,42,44,21.69,40.03,101.42,1
40,21,50,20.96,43.21,101.43,1
75,14,88,20.65,45.39,101.44,0
45,37,107,20.34,47.57,101.44,0
20,40,92,20.02,49.54,101.44,0
50,12,15,19.7,51.51,101.44,1
41,30,86,19.49,52.92,101.45,1
24,26,74,19.28,54.32,101.46,1
24,14,98,19.1,55.74,101.46,0
2,15,79,18.92,57.17,101.47,1
41,10,50,18.84,58.66,101.48,0
63,0,98,18.76,60.16,101.48,0
82,27,80,18.67,61.14,101.48,1
72,7,110,18.58,62.12,101.48,0
48,16,47,18.49,62.61,101.49,1
24,1,7,18.4,63.11,101.5,0
45,17,10,18.41,63.19,101.51,0
52,7,45,18.42,63.27,101.52,0
67,42,109,18.28,64.17,101.52,0
22,8,86,18.15,65.06,101.53,0
2,45,67,18.01,65.91,101.54,1
54,40,59,17.87,66.77,101.54,1
59,17,61,17.81,67.01,101.54,1
66,21,36,17.76,67.24,101.55,0
6,44,55,17.7,67.48,101.55,1
46,33,30,17.62,67.84,101.56,1
17,44,71,17.53,68.2,101.56,1
6,5,89,17.4,68.68,101.56,1
53,7,22,17.27,69.16,101.56,1
28,30,50,17.12,69.86,101.58,0
